;Average Consumption 2015
Afghanistan;810.4663242009133
Albania;833.3388127853881
Algeria;7850.452511415525
Angola;1114.1595890410958
Argentina;17627.853424657533
Armenia;747.7135844748858
Australia;28808.21484018265
Austria;8602.737214611872
Azerbaijan;2800.2302511415523
Bahrain;3250.0013698630137
Bangladesh;6737.444406392694
Belarus;4190.644520547945
Belgium;10462.333105022832
Belize;51.92477168949772
Benin;162.1068493150685
Bhutan;281.23721461187216
Bolivia;974.8877853881279
Bosnia and Herzegovina;1541.0958904109589
Botswana;506.8522831050228
Brazil;70328.7703196347
Brunei;480.59235159817354
Bulgaria;4413.2463470319635
Burkina Faso;197.02271689497718
Burundi;48.36803652968037
Cambodia;675.7998858447488
Cameroon;932.6471461187215
Canada;69786.5287671233
Cape Verde;48.244977168949774
Central African Republic;20.938356164383563
Chad;289.52591324200915
Chile;8606.16301369863
China;661659.9526255708
Colombia;7831.0486301369865
Costa Rica;1221.4613013698631
Ivory Coast;897.2671232876712
Croatia;2076.4865296803655
Cuba;2316.211872146119
Cyprus;518.2471461187215
Czech Republic;8149.547488584475
Denmark;3979.451940639269
Djibouti;48.271118721461185
Dominican Republic;2107.3060502283106
Ecuador;3001.1576484018265
Egypt;20647.255707762557
El Salvador;786.5292237442923
Equatorial Guinea;53.54509132420091
Eritrea;38.82077625570776
Estonia;1084.4715753424657
Ethiopia;1172.3778538812785
Fiji;104.00182648401827
Finland;9695.20091324201
France;57578.76278538813
French Guiana;36.72716894977169
Gabon;281.9609589041096
Gambia;35.84577625570776
Georgia;1240.9230593607306
Germany;68334.46769406393
Ghana;1273.9708904109589
Greece;7019.400114155251
Guatemala;1205.480593607306
Guinea;71.18995433789955
Guinea-Bissau;35.62933789954338
Guyana;96.9425799086758
Haiti;118.71449771689498
Honduras;1039.9534246575342
Hungary;5027.396575342465
Iceland;2146.3964611872148
India;157889.27363013697
Indonesia;26712.33207762557
Iraq;9047.949771689498
Ireland;3317.353310502283
Israel;6738.579908675799
Italy;37600.458333333336
Jamaica;471.45867579908673
Japan;118875.5761415525
Jordan;2234.0173515981737
Kazakhstan;12154.10890410959
Kenya;1103.8778538812785
South Korea;63114.15707762557
Kuwait;7753.425913242009
Kyrgyzstan;1550.231506849315
Latvia;839.0455479452055
Lebanon;2131.2744292237444
Lesotho;108.97009132420091
Liberia;35.728995433789954
Libya;4315.0698630136985
Lithuania;1385.8449771689498
Luxembourg;954.34600456621
Madagascar;202.47477168949771
Malawi;167.83470319634702
Malaysia;17138.120776255706
Mali;378.19737442922377
Malta;268.2606164383562
Mauritania;132.3425799086758
Mauritius;342.46769406392696
Mexico;35441.838470319635
Moldova;697.4904109589041
Mongolia;786.5278538812786
Montenegro;402.9737442922374
Morocco;4131.275114155251
Mozambique;2007.9860730593607
Myanmar;1823.0616438356165
Namibia;464.6102739726027
Nepal;600.45799086758
Netherlands;13563.918721461187
New Zealand;5046.775913242009
Nicaragua;523.9712328767123
Niger;150.68276255707764
Nigeria;3587.895205479452
Norway;14882.414840182648
Oman;3739.726826484018
Pakistan;12707.763127853881
Panama;1160.9586757990867
Papua New Guinea;506.42397260273975
Paraguay;1668.948287671233
Peru;5502.29394977169
Philippines;9407.536415525114
Poland;18791.096689497717
Portugal;6243.148858447488
Qatar;4738.585844748858
Romania;6800.227853881279
Russia;120535.38401826484
Rwanda;67.62956621004567
Saudi Arabia;38624.42808219178
Senegal;450.91381278538813
Serbia;4267.124200913242
Sierra Leone;35.97865296803653
Singapore;5754.567579908676
Slovakia;3343.5987442922374
Slovenia;1718.0377853881278
Somalia;40.57100456621004
South Africa;28324.20091324201
Spain;32065.06324200913
Sri Lanka;1505.7084474885844
Sudan;1489.7253424657533
Suriname;258.00125570776254
Sweden;15920.094178082192
Switzerland;7613.012100456621
Taiwan;28067.497260273973
Tajikistan;1808.2188356164384
Tanzania;727.1732876712329
Thailand;21679.22317351598
Timor-Leste;15.64337899543379
Togo;150.68139269406393
Trinidad and Tobago;1175.8012557077625
Tunisia;2235.1602739726027
Turkey;30333.367579908674
Turkmenistan;2206.6239726027397
Uganda;391.61826484018263
Ukraine;18529.66107305936
United Arab Emirates;14544.521347031963
United Kingdom;41099.3100456621
United States;500437.2162100457
Uruguay;1418.9659817351599
Uzbekistan;6418.950342465753
Venezuela;13311.642237442922
Vietnam;17678.079908675798
Western Sahara;11.798059360730594
Yemen;607.3058219178082
Zambia;1488.580593607306
Zimbabwe;1097.0365296803652
