Country;Neighboring Countries
Albania;Montenegro, Kosovo, North Macedonia, Greece
Andorra;France, Spain
Austria;Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, Liechtenstein
Belarus;Latvia, Lithuania, Poland, Ukraine, Russia
Belgium;Netherlands, Germany, Luxembourg, France
Bosnia and Herzegovina;Croatia, Montenegro, Serbia, North Macedonia
Bulgaria;Romania, Serbia, North Macedonia, Greece, Turkey
Croatia;Slovenia, Hungary, Serbia, Bosnia and Herzegovina, Montenegro
Cyprus;(No land borders)
Czech Republic;Germany, Poland, Slovakia, Austria
Denmark;Germany, Sweden
Estonia;Latvia, Russia
Finland;Sweden, Norway
France;Belgium, Luxembourg, Germany, Switzerland, Italy, Monaco, Spain, Andorra, Ireland
Germany;Denmark, Poland, Czech Republic, Austria, Switzerland, France, Luxembourg, Belgium, Netherlands, Ireland
Greece;Albania, North Macedonia, Bulgaria, Turkey
Hungary;Austria, Slovakia, Ukraine, Romania, Serbia, Croatia, Slovenia
Iceland;(No land borders)
Ireland;United Kingdom, France, Belgium
Italy;France, Switzerland, Austria, Slovenia, Croatia, San Marino, Vatican City
Kosovo;Albania, North Macedonia, Serbia, Montenegro
Latvia;Estonia, Lithuania, Belarus, Russia
Liechtenstein;Switzerland, Austria
Lithuania;Latvia, Poland, Belarus, Russia
Luxembourg;Belgium, Germany, France
Malta;(No land borders)
Moldova;Ukraine, Romania
Monaco;France
Montenegro;Croatia, Bosnia and Herzegovina, Serbia, Albania, Kosovo
Netherlands;Germany, Belgium
North Macedonia;Albania, Kosovo, Serbia, Bulgaria, Greece
Norway;Sweden, Finland, Russia
Poland;Germany, Czech Republic, Slovakia, Ukraine, Belarus, Lithuania, Russia
Portugal;Spain
Romania;Hungary, Serbia, Bulgaria, Moldova, Ukraine
Russia;Norway, Finland, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Georgia, Azerbaijan, Kazakhstan, China
San Marino;Italy
Serbia;Hungary, Croatia, Bosnia and Herzegovina, Montenegro, Albania, Kosovo, North Macedonia, Bulgaria, Romania
Slovakia;Austria, Czech Republic, Poland, Ukraine, Hungary
Slovenia;Austria, Italy, Croatia, Hungary
Spain;France, Andorra, Portugal
Sweden;Norway, Finland, Denmark
Switzerland;France, Italy, Austria, Liechtenstein, Germany
Ukraine;Poland, Slovakia, Hungary, Romania, Moldova, Belarus
United Kingdom;Ireland, France
Vatican City;Italy
